All Subjects Report - D-BIT-July-2026-1-A
Month:,May 2026

Subject: Python (D-BIT-July-2026-1-A-PY)
Name,Student ID,2026-05-15,Present,Absent,Total,P%
Aadi,D-BIT-July-2026-1-A-S1,P,1,0,1,100.0
Aaditya,D-BIT-July-2026-1-A-S2,P,1,0,1,100.0
CLASS TOTAL,,P:2/A:0,2,0,2,100.0
------------------------------------------------------------

Subject: DSA (D-BIT-July-2026-1-A-DSA)
Name,Student ID,2026-05-15,Present,Absent,Total,P%
Aadi,D-BIT-July-2026-1-A-S1,P,1,0,1,100.0
Aaditya,D-BIT-July-2026-1-A-S2,P,1,0,1,100.0
CLASS TOTAL,,P:2/A:0,2,0,2,100.0
------------------------------------------------------------

